index,question,answer,top_score,judge_failed,pred_relevance,pred_utilization,pred_completeness,pred_adherence,gt_relevance,gt_utilization,gt_completeness,gt_adherence
0,"Which university did one of the key figures in the American documentary film, released in 2015, directed by Malcolm Ingr","Step 1: Read all documents and identify which ones mention entities from the question.
The question mentions the American documentary film directed by Malcolm Ingram, released in 2015, and one of the key figures who played for the New Jersey Nets before being drafted.

Step 2: Find the bridge — an e",4.509584903717041,False,0.1724,0.1034,0.6,1.0,0.17857142857142858,0.10714285714285714,0.6,0.0
1,Were both Léopold Eyharts and Ulrich Walter a General in the French Air Force? ,"To answer this question, I will follow the steps:

Step 1: Read ALL documents and identify which ones mention entities from the question.
The documents that mention entities from the question are:
- Document 1: mentions Léopold Eyharts
- Document 2: mentions Ulrich Hans Walter
- Document 3: mentions",6.7794342041015625,False,0.0667,0.0667,1.0,1.0,0.18181818181818182,0.18181818181818182,1.0,1.0
2,"Which music group has the most members, DC Talk, or Manchester Orchestra?","Step 1: Identify the documents that mention the entities from the question.
- Document 1 mentions DC Talk.
- Document 2 mentions Manchester Orchestra.

Step 2: Find the bridge that connects the question to the answer.
- The bridge is the number of members in each group.

Step 3: Extract the specific",3.4534449577331543,False,0.0408,0.0204,0.5,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0
3,"Eddie Jemison had a role in the television series ""IZombie"", which premiered on what date?","Step 1: Identify which documents mention entities from the question.
- Document 1 mentions Eddie Jemison
- Document 2 and 3 mention the TV series ""iZombie""

Step 2: Find the bridge — an entity that connects the question to the answer.
- The bridge is Eddie Jemison and the TV series ""iZombie"".

Step ",6.1646833419799805,False,0.0811,0.0541,0.6667,1.0,0.2727272727272727,0.18181818181818182,0.6666666666666666,1.0
4,"Consider the band formed in 2015 by JYP Entertainment through the reality show ""Sixteen"". How many tracks are on the rei","Step 1: Identify the documents that mention the entity ""JYP Entertainment"" and the band formed in 2015 through the reality show ""Sixteen"". 
Document 1 mentions the band formed by JYP Entertainment through the reality show ""Sixteen"".
Document 2 mentions JYP Entertainment as the label that released th",4.8769121170043945,False,0.0625,0.0625,1.0,1.0,0.3076923076923077,0.23076923076923078,0.75,1.0
5,What three categories does income get levied under the Parliament of Australia's tax code?,"To answer this question, I will follow the steps:

Step 1: Read ALL documents and identify which ones mention entities from the question.
The question mentions ""Parliament of Australia"" and ""tax code"", so I will look for documents that mention these entities.

Document 2 mentions the ""Income Tax Ass",6.9086833000183105,False,0.0769,0.0769,1.0,1.0,0.07142857142857142,0.07142857142857142,1.0,1.0
6,"What city did the author of ""Portraits and Prayers"" choose to live in after moving to France?","Step 1: Identify the documents that mention entities from the question.
The question mentions ""Portraits and Prayers"" and ""France"". Documents 1 and 2 mention ""Portraits and Prayers"" and ""France"".

Step 2: Find the bridge that connects the question to the answer.
The bridge is ""Gertrude Stein"", the a",-4.025018692016602,False,0.0556,0.0556,1.0,1.0,0.2222222222222222,0.05555555555555555,0.25,1.0
7,Are both Frank Lloyd and Olivier Assayas American film directors?,"To answer this question, I will follow the steps:

Step 1: Read all documents and identify which ones mention entities from the question.
- Document 1 mentions Olivier Assayas.
- Document 2 mentions Frank Lloyd.
- Document 3 does not mention either.
- Document 4 mentions Olivier Assayas.
- Document ",5.283780574798584,False,0.08,0.08,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0
8,"Which founder of Alcatraz East was born on March 31, 1956?","Step 1: Read ALL documents and identify which ones mention entities from the question.
The question mentions Alcatraz East and its founder, so I'll look for documents related to Alcatraz East and its founders.

Step 2: Find the BRIDGE — an entity that connects the question to the answer.
The bridge ",0.24405014514923096,False,0.0323,0.0323,1.0,0.0,0.2,0.1,0.5,1.0
9,"Which magazine was first published earlier, The Chronicle of Philanthropy or Skeptic?","Step 1: Identify relevant documents
The question mentions two magazines: The Chronicle of Philanthropy and Skeptic. I will read all documents to find the ones that mention these entities.

Document 1 mentions Skeptic.
Document 2 mentions The Chronicle of Philanthropy.

Step 2: Find the bridge
The br",4.91156005859375,False,0.0606,0.0606,1.0,1.0,0.13333333333333333,0.13333333333333333,1.0,1.0
10,How many personnel does the Navy that had Gilliam-class atttack transports have on active duty?,"Step 1: Read all documents and identify which ones mention entities from the question.
The question mentions the ""Gilliam-class attack transport"" which is mentioned in Document 2.

Step 2: Find the bridge — an entity that connects the question to the answer.
The bridge is the ""US Navy"" which is ment",1.1781398057937622,False,0.0377,0.0377,1.0,1.0,0.05555555555555555,0.05555555555555555,1.0,1.0
