experiment,domain,embed,chunk_size,table_aware,top_k,reranker,retrieval,generator,judge,samples,judge_fails,refusals,rmse_relevance,rmse_utilization,rmse_completeness,rmse_adherence,rmse_avg,auc_relevance,auc_utilization,auc_completeness,auc_adherence
F1_Baseline,finqa,all-MiniLM-L6-v2,512,False,5,True,dense,llama-8b,gemma-12b,30,0,0,0.2377,0.3483,0.3651,0.3829,0.3335,0.069,,0.463,0.5577
F2_TableAware,finqa,all-MiniLM-L6-v2,512,True,5,True,dense,llama-8b,gemma-12b,30,0,0,0.2599,0.3609,0.3702,0.3571,0.337,0.7586,,0.4444,0.5769
F3_BGESmall,finqa,BAAI/bge-small-en-v1.5,512,True,5,True,dense,llama-8b,gemma-12b,30,0,0,0.2527,0.29,0.3674,0.4127,0.3307,0.0345,,0.463,0.4231
F4_WiderPool,finqa,BAAI/bge-small-en-v1.5,512,True,7,True,dense,llama-8b,gemma-12b,30,0,0,0.232,0.2298,0.3714,0.4454,0.3196,0.0345,,0.463,0.5288
F5_Hybrid,finqa,BAAI/bge-small-en-v1.5,512,True,7,False,hybrid,llama-8b,gemma-12b,30,1,0,0.1969,0.3077,0.4037,0.4528,0.3403,0.8276,,0.463,0.601
F6_LargeChunks,finqa,BAAI/bge-small-en-v1.5,1024,True,5,True,dense,llama-8b,gemma-12b,30,0,0,0.1493,0.1592,0.3734,0.4088,0.2727,0.8621,,0.4444,0.4615
F7_BGEBase768,finqa,BAAI/bge-base-en-v1.5,512,True,7,True,dense,llama-8b,gemma-12b,30,2,0,0.1643,0.199,0.4038,0.3347,0.2754,0.9655,,0.4444,0.7115
F8_UpgradedLLMs,finqa,BAAI/bge-base-en-v1.5,512,True,7,True,dense,gemma-12b,gemma-31b,30,0,4,0.1102,0.0744,0.4327,0.3517,0.2422,0.0345,,0.5988,0.6731
F9_PremiumLLMs,finqa,BAAI/bge-base-en-v1.5,512,True,7,True,dense,gemma-31b,llama-70b,20,0,4,0.1368,0.0753,0.4594,0.5,0.2929,0.0526,,0.6806,0.4167
F10_BestCombo,finqa,BAAI/bge-base-en-v1.5,512,True,7,True,dense,gemma-12b,gemma-31b,50,0,7,0.1327,0.0775,0.4929,0.3794,0.2706,0.3802,,0.4867,0.7089
