index,question,answer,top_score,judge_failed,pred_relevance,pred_utilization,pred_completeness,pred_adherence,gt_relevance,gt_utilization,gt_completeness,gt_adherence
0,"Which university did one of the key figures in the American documentary film, released in 2015, directed by Malcolm Ingr","To answer the question, I will extract relevant facts from the provided documents.

Document 7 mentions Jason Collins, one of the key figures in the American documentary film, released in 2015, directed by Malcolm Ingram. According to Document 7, Jason Collins played college basketball for Stanford ",4.509583950042725,False,0.0741,0.0741,1.0,0.8,0.17857142857142858,0.10714285714285714,0.6,0.0
1,Were both Léopold Eyharts and Ulrich Walter a General in the French Air Force? ,"To answer this question, I will identify the relevant documents and extract the specific facts.

Document 1 states that Léopold Eyharts is a Brigadier General in the French Air Force.

Document 2 states that Ulrich Hans Walter is a former DFVLR astronaut, but it does not mention his military rank.

",6.779433250427246,False,0.0645,0.0645,1.0,1.0,0.18181818181818182,0.18181818181818182,1.0,1.0
2,"Which music group has the most members, DC Talk, or Manchester Orchestra?","To answer this question, I will extract the number of members from each relevant document.

[Document 1] does not mention the number of members in DC Talk.

[Document 2] mentions that Manchester Orchestra is composed of 4 members: Andy Hull, Robert McDowell, Andy Prince, and Tim Very.

[Document 4] ",3.4534449577331543,False,0.0638,0.0638,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0
3,"Eddie Jemison had a role in the television series ""IZombie"", which premiered on what date?","To answer this question, I need to identify the relevant documents and extract the specific fact from each document.

Document 2 and Document 3 both mention the television series ""iZombie"" and its premiere date. Document 2 states that the series premiered on March 17, 2015, and Document 3 also menti",6.164683818817139,False,0.0789,0.0526,0.6667,1.0,0.2727272727272727,0.18181818181818182,0.6666666666666666,1.0
4,"Consider the band formed in 2015 by JYP Entertainment through the reality show ""Sixteen"". How many tracks are on the rei","To answer the question, I need to identify the relevant documents and extract the specific fact from each relevant document.

The relevant documents are:
- Document 1: Introduces the band formed by JYP Entertainment through the reality show ""Sixteen"".
- Document 2: Provides information about the rei",4.8769121170043945,False,0.075,0.075,1.0,1.0,0.3076923076923077,0.23076923076923078,0.75,1.0
5,What three categories does income get levied under the Parliament of Australia's tax code?,"Based on the documents, the three categories under which income gets levied in the Australian tax code are:

1. Personal earnings (such as salary and wages)
2. Business income
3. Capital gains

(Extracted from Document 1: ""Income tax in Australia is the most important revenue stream within the Austr",6.9086833000183105,False,0.0278,0.0556,1.0,1.0,0.07142857142857142,0.07142857142857142,1.0,1.0
6,"What city did the author of ""Portraits and Prayers"" choose to live in after moving to France?","To answer this question, I need to identify the relevant documents and extract the specific fact.

Document 1 mentions that Gertrude Stein moved to Paris in 1903 and made France her home for the remainder of her life.

Document 2 also mentions that Stein moved to Paris in 1903.

Document 3 is not re",-4.025019645690918,False,0.0588,0.0588,1.0,1.0,0.2222222222222222,0.05555555555555555,0.25,1.0
7,Are both Frank Lloyd and Olivier Assayas American film directors?,"Based on the documents, I can answer the question as follows:

Document 2 states that Frank William George Lloyd was an American film director, scriptwriter, and producer.

Document 1 states that Olivier Assayas is a French film director, screenwriter, and film critic.

Therefore, the answer is: No,",5.283780574798584,False,0.08,0.08,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0
8,"Which founder of Alcatraz East was born on March 31, 1956?",I cannot answer this question as none of the provided documents contain information about the birthdate of the founder of Alcatraz East.,0.2440476417541504,False,0.0278,0.0278,1.0,1.0,0.2,0.1,0.5,1.0
9,"Which magazine was first published earlier, The Chronicle of Philanthropy or Skeptic?","To answer this question, I will identify the relevant documents, extract the specific fact from each relevant document, and combine them into one clear answer.

Relevant documents: Document 1, Document 2

From Document 1, I extract the fact that Skeptic magazine was first published in the spring of ",4.911561965942383,False,0.0606,0.0606,1.0,1.0,0.13333333333333333,0.13333333333333333,1.0,1.0
10,How many personnel does the Navy that had Gilliam-class atttack transports have on active duty?,"To answer the question, I need to identify the relevant documents and extract the specific fact.

[Document 2] mentions the USS ""Carlisle"" (APA-69), a Gilliam-class attack transport, but it does not provide information on the number of personnel on active duty.

However, [Document 1] provides inform",1.1781399250030518,False,0.0435,0.0435,1.0,1.0,0.05555555555555555,0.05555555555555555,1.0,1.0
11,Are Billy and Barak both breeds of scenthound? (Barak is also known as a Bosnian Coarse-haired Hound),"To answer this question, I will extract relevant facts from the provided documents.

[Document 1] states that the Bosnian Coarse-haired Hound, also called the Barak, is a hunting dog breed developed in Bosnia, and it is a scenthound.

[Document 3] states that the Billy is a large scenthound originat",6.913838863372803,False,0.0638,0.0638,1.0,1.0,0.2727272727272727,0.2727272727272727,1.0,1.0
12,Socialist conferences were held with what countries that opposed the Central Powers in the First World War?,"To answer the question, I will extract relevant facts from the documents.

From [Document 1], we know that the Zimmerwald Conference was held with anti-militarist socialist parties from countries that were originally neutral during World War I.

From [Document 2], we know that there were conferences",6.460530757904053,False,0.0571,0.1143,1.0,1.0,0.2,0.2,1.0,1.0
13,What  unincorporated town along the Amargosa River is near the Sarcobatus Flat?,"To answer this question, I will identify the relevant documents and extract the specific fact from each document.

Document 3 mentions Sarcobatus Flat, which is a closed valley in western Nye County, Nevada. Document 1 mentions Beatty, an unincorporated town in Nye County, Nevada, which lies between",3.962779998779297,False,0.0714,0.1905,1.0,1.0,0.23076923076923078,0.07692307692307693,0.3333333333333333,1.0
14,What Manchester United and Portuguese national winger scored a goal in the 2009 FA Community Shield?,"To answer this question, I will extract the relevant fact from each relevant document.

From Document 2:
The match was contested by 2008–09 Premier League champions Manchester United, and Chelsea as the winners of the 2008–09 FA Cup, a repeat of the 2007 match.

From Document 4:
Although predominant",5.772074222564697,False,0.1154,0.1154,0.6667,1.0,0.25,0.16666666666666666,0.6666666666666666,1.0
15,"Manchester, New Hampshire is a part of the Northeast megalopolis which included what other major cities?","To answer the question, I will combine facts from multiple documents.

According to Document 2, the Northeast megalopolis includes the major cities of Boston, Providence, Hartford, New York City, Philadelphia, Wilmington, Baltimore, and Washington, D.C.

Additionally, Document 6 mentions that Baltim",6.828723430633545,False,0.0588,0.0784,0.3333,0.75,0.22727272727272727,0.045454545454545456,0.2,1.0
16,Telos was an album by a band who formed in what city?,"To answer this question, I need to identify the relevant documents and extract the specific fact.

Document 2 contains the relevant information: ""Telos marks the first album from Forevermore. Solid State Records released the project on July 22, 2014. Forevermore worked with Jordan Furr on the produc",2.837132692337036,False,0.0455,0.0455,1.0,1.0,0.11538461538461539,0.07692307692307693,0.6666666666666666,1.0
17,"Which item spanned farther distances regarding sales, Interact Home Computer or Sord M5?","To answer the question, I will extract relevant facts from the documents.

[Document 1] mentions that the Sord M5 was sold in Japan, the United Kingdom, Czechoslovakia, and South Korea, but does not provide specific information about the distances between these locations.

[Document 2] mentions that",0.8591046333312988,False,0.1522,0.1522,0.8571,1.0,0.25,0.20833333333333334,0.8333333333333334,0.0
18,What national team has the brother of Arturas Javtokas been a member of since 2004?,"To answer the question, we need to extract relevant information from the documents.

From Document 2, we know that Robertas Javtokas, the brother of Arturas Javtokas, has been a member of the senior men's Lithuanian national team since 2004.

Therefore, the answer is:
The Lithuanian national team.",6.431032657623291,False,0.0408,0.0408,1.0,1.0,0.16666666666666666,0.1111111111111111,0.6666666666666666,1.0
19,What does Age of Chance and Vector share in common? ,"After analyzing the documents, I found that none of them explicitly mention Age of Chance and Vector sharing a common trait. However, I can try to find a connection between the two bands based on the information provided.

Document 1 mentions Age of Chance, a British alternative rock-dance crossover",-1.2125840187072754,False,0.0455,0.0455,1.0,1.0,0.15384615384615385,0.15384615384615385,1.0,1.0
