index,question,answer,top_score,judge_failed,pred_relevance,pred_utilization,pred_completeness,pred_adherence,gt_relevance,gt_utilization,gt_completeness,gt_adherence
0,"Which university did one of the key figures in the American documentary film, released in 2015, directed by Malcolm Ingr","To answer this question, I will extract relevant facts from the provided documents.

Document 8 (Jason Paul Collins' biography) is the most relevant to the question.

According to Document 8, Jason Collins played college basketball for Stanford University.

Document 1 (Out to Win) mentions Jason Col",4.509584903717041,False,0.069,0.069,1.0,1.0,0.17857142857142858,0.10714285714285714,0.6,0.0
1,Were both Léopold Eyharts and Ulrich Walter a General in the French Air Force? ,"To answer this question, I need to identify which documents contain relevant facts.

Document 1 states that Léopold Eyharts is a Brigadier General in the French Air Force.

Document 2 does not mention Ulrich Hans Walter's military rank.

Document 3 does not mention either Léopold Eyharts or Ulrich H",6.7794342041015625,False,0.0667,0.0333,0.5,0.6667,0.18181818181818182,0.18181818181818182,1.0,1.0
2,"Which music group has the most members, DC Talk, or Manchester Orchestra?","To determine which music group has the most members, we need to identify the number of members for each group.

Document 1 mentions DC Talk as a trio, formed by Toby McKeehan, Michael Tait, and Kevin Max Smith.

Document 2 mentions Manchester Orchestra as a group composed of Andy Hull, Robert McDowe",3.4534449577331543,True,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,1.0
3,"Eddie Jemison had a role in the television series ""IZombie"", which premiered on what date?","To answer this question, I will extract the relevant information from Document 2 and Document 3.

Document 2 states: ""The series premiered on March 17, 2015.""

Document 3 is a duplicate of Document 2, so it does not provide any new information.

Therefore, the answer is:

Eddie Jemison had a role in",6.1646833419799805,False,0.0811,0.027,0.3333,1.0,0.2727272727272727,0.18181818181818182,0.6666666666666666,1.0
4,"Consider the band formed in 2015 by JYP Entertainment through the reality show ""Sixteen"". How many tracks are on the rei","To answer the question, I will refer to the relevant documents.

[Document 2] mentions the reissue of Twice's third extended play (EP), titled ""Twicecoaster: Lane 2"". It states that the reissue contains 13 tracks.

Therefore, the answer is:
There are 13 tracks on the reissue of Twice's third album.",4.8769121170043945,False,0.0625,0.0417,0.6667,1.0,0.3076923076923077,0.23076923076923078,0.75,1.0
5,What three categories does income get levied under the Parliament of Australia's tax code?,"To answer this question, I will extract the relevant fact from each of the provided documents.

[Document 1] states that income tax in Australia is levied upon three sources of income for individual taxpayers: ""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains"".

Th",6.9086833000183105,False,0.0256,0.0256,1.0,1.0,0.07142857142857142,0.07142857142857142,1.0,1.0
6,"What city did the author of ""Portraits and Prayers"" choose to live in after moving to France?","To answer the question, we need to identify the relevant documents and extract the specific fact.

From Document 1, we know that Gertrude Stein wrote ""If I Told Him : A Completed Portrait of Picasso” in 1923, and it was published in her collection ""Portraits and Prayers"".

From Document 2, we know t",-4.025018692016602,False,0.0833,0.0833,1.0,1.0,0.2222222222222222,0.05555555555555555,0.25,1.0
7,Are both Frank Lloyd and Olivier Assayas American film directors?,"Based on the documents, I can answer the question as follows:

Document 2 states that Frank William George Lloyd was an American film director, scriptwriter, and producer.

Document 1 states that Olivier Assayas is a French film director, screenwriter, and film critic.

Therefore, the answer is: No,",5.283780574798584,False,0.08,0.08,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0
8,"Which founder of Alcatraz East was born on March 31, 1956?","To answer this question, I need to find a document that contains information about the founder of Alcatraz East and their birthdate.

After reviewing the documents, I found that [Document 1] mentions that Alcatraz East was created and built by attorney John Morgan, and his Chief Operating Officer, J",0.24405014514923096,False,0.0323,0.0323,1.0,1.0,0.2,0.1,0.5,1.0
9,"Which magazine was first published earlier, The Chronicle of Philanthropy or Skeptic?","To answer the question, I will identify the relevant documents and extract the specific fact from each.

[Document 2]: The Chronicle of Philanthropy was founded in 1988.
[Document 1]: Skeptic magazine was first published in the spring of 1992.

Since Skeptic magazine was published two years after Th",4.91156005859375,False,0.0606,0.0606,1.0,1.0,0.13333333333333333,0.13333333333333333,1.0,1.0
10,How many personnel does the Navy that had Gilliam-class atttack transports have on active duty?,"To answer the question, I need to identify the relevant document and extract the specific fact.

The relevant document is Document 2, which mentions the USS ""Carlisle"" (APA-69), a Gilliam-class attack transport that served with the US Navy during World War II.

However, Document 2 does not provide i",1.1781398057937622,False,0.0377,0.0377,1.0,1.0,0.05555555555555555,0.05555555555555555,1.0,1.0
11,Are Billy and Barak both breeds of scenthound? (Barak is also known as a Bosnian Coarse-haired Hound),"To answer this question, I will extract relevant facts from the provided documents.

[Document 1] states that the Bosnian Coarse-haired Hound, also called the Barak, is a hunting dog breed developed in Bosnia, and it is a scenthound.

[Document 3] states that the Billy is a large scenthound originat",6.913838863372803,False,0.0638,0.0638,1.0,1.0,0.2727272727272727,0.2727272727272727,1.0,1.0
12,Socialist conferences were held with what countries that opposed the Central Powers in the First World War?,"To answer the question, I will identify the relevant documents, extract the specific facts, and combine them into one clear answer.

Relevant documents:
[Document 1], [Document 2], [Document 3], and [Document 4]

Extracted facts:
[Document 1]: The Zimmerwald Conference was held with countries that w",6.460529804229736,False,0.0968,0.129,1.0,0.3333,0.2,0.2,1.0,1.0
13,What  unincorporated town along the Amargosa River is near the Sarcobatus Flat?,"To answer this question, I need to identify the relevant documents and extract the specific facts.

Document 3 mentions Sarcobatus Flat, which is a closed valley in western Nye County, Nevada. Document 1 mentions Beatty, an unincorporated town in Nye County, Nevada, which lies between Tonopah and La",3.9627819061279297,False,0.0513,0.1026,1.0,1.0,0.23076923076923078,0.07692307692307693,0.3333333333333333,1.0
14,What Manchester United and Portuguese national winger scored a goal in the 2009 FA Community Shield?,"To answer this question, I will extract the relevant information from Document 2 and Document 4.

Document 2 states that the 2009 FA Community Shield was contested by Manchester United and Chelsea, and the goals for Manchester United were scored by Nani and Wayne Rooney.

Document 4 states that Nani",5.7720746994018555,False,0.1,0.1,1.0,1.0,0.25,0.16666666666666666,0.6666666666666666,1.0
15,"Manchester, New Hampshire is a part of the Northeast megalopolis which included what other major cities?","To answer this question, I will extract relevant facts from multiple documents.

[Document 2] states that the Northeast megalopolis includes the major cities of Boston, Providence, Hartford, New York City, Philadelphia, Wilmington, Baltimore, and Washington, D.C., along with their metropolitan areas",6.828723430633545,False,0.0351,0.0526,0.5,1.0,0.22727272727272727,0.045454545454545456,0.2,1.0
16,Telos was an album by a band who formed in what city?,"To answer this question, I will identify the relevant documents and extract the specific fact from each document.

[Document 1] does not mention the city where Forevermore formed.
[Document 2] does not mention the city where Forevermore formed.
[Document 3] does not mention Forevermore.
[Document 4]",2.837134599685669,False,0.0667,0.0667,1.0,1.0,0.11538461538461539,0.07692307692307693,0.6666666666666666,1.0
17,"Which item spanned farther distances regarding sales, Interact Home Computer or Sord M5?","To answer this question, we need to find information about the sales distribution of both the Interact Home Computer and the Sord M5.

From Document 2, we know that the Interact Home Computer was sold through mail order houses, and it was also available off the shelf at Highland Appliance in the Det",0.8591046333312988,False,0.0833,0.0833,1.0,1.0,0.25,0.20833333333333334,0.8333333333333334,0.0
18,What national team has the brother of Arturas Javtokas been a member of since 2004?,"To answer this question, I need to identify the relevant documents and extract the necessary information.

Document 2 contains the relevant information: ""He has been a member of the senior men's Lithuanian national team since 2004.""

The answer is: The Lithuanian national team.",6.431033134460449,False,0.04,0.02,0.5,1.0,0.16666666666666666,0.1111111111111111,0.6666666666666666,1.0
19,What does Age of Chance and Vector share in common? ,"To answer this question, I need to identify which documents contain relevant facts about Age of Chance and Vector.

Document 1 contains information about Age of Chance, but not Vector.
Document 2 is about probability and statistics, and does not mention either band.
Document 3 contains information a",-1.2125848531723022,False,0.0444,0.0444,1.0,1.0,0.15384615384615385,0.15384615384615385,1.0,1.0
