index,question,answer,top_score,judge_failed,pred_relevance,pred_utilization,pred_completeness,pred_adherence,gt_relevance,gt_utilization,gt_completeness,gt_adherence
0,I want to  enter into Ambient mode. How can I do that?,"According to Document 1, to enter Ambient Mode, press the button.",5.718347549438477,False,0.0526,0.0175,0.3333,1.0,0.02040816326530612,0.04081632653061224,1.0,1.0
1,Where do I find signal information ?,"According to Document 1, you can find signal information by going to Settings > Support > Self Diagnosis > Signal Information > Try Now.",-0.7140037417411804,False,0.0161,0.0484,1.0,1.0,0.1111111111111111,0.1111111111111111,1.0,1.0
2,How can I view the channels that are serached by auto program function and How can I view first five favorite channel?,"To view the channels that are searched by the Auto Program function, you can follow the steps in Document 3:

1. Press the button on the remote to open Smart Hub.
2. Press the left or right directional buttons to move to Live TV.
3. Press the up directional button to move to the top row.
4. Press th",4.0806074142456055,True,0.0,0.0,0.0,0.0,0.42105263157894735,0.15789473684210525,0.375,1.0
3,Can I configure Tint?,"Yes, you can configure Tint. According to Document 1, under the ""Picture Expert Settings"" section, you can try now ""Tint (G/R)"" to adjust the tint settings.",-0.4985063076019287,False,0.0182,0.0364,1.0,1.0,0.03225806451612903,0.03225806451612903,1.0,1.0
4,How do I fix the missing/wrong color issue ?,"According to Document 1, if the color on your TV screen is not correct or the black and white colors are off, run Start Picture Test. If the test results indicate that the problem is not caused by the TV, do the following:

1. Confirm that the video input connectors are connected to the correct exte",0.43353772163391113,True,0.0,0.0,0.0,0.0,0.08928571428571429,0.17857142857142858,0.4,1.0
5,How do I fix blurring issues on TV screen?,"According to Document 2, to fix blurring issues on the TV screen, you should use the Auto Motion Plus Settings function. The steps are:

1. Go to Settings
2. Picture Expert
3. Auto Motion Plus Settings",4.297235488891602,False,0.0078,0.0078,1.0,1.0,0.03571428571428571,0.03571428571428571,1.0,1.0
6,What is the use of universal guide?,"According to Document 1: ""Universal Guide is an app that allows you to search for and enjoy various content such as TV shows, dramas, movies, and music in one place.""",7.4189558029174805,False,0.0385,0.0385,1.0,1.0,0.2777777777777778,0.16666666666666666,0.6,1.0
7,What is the feature of Bixby guide?,"According to Document 3, the feature of Bixby guide is that it can be viewed by pressing the button on the Samsung Smart Remote once, and then pressing the Select button. This will display a tutorial on using Bixby.",3.1053833961486816,False,0.0667,0.0667,1.0,1.0,0.13333333333333333,0.13333333333333333,1.0,1.0
8,How to launch the last used app automatically?,"To launch the last used app automatically, go to Settings > General > Smart Features > Autorun Last App. This function may not be supported depending on the app. To turn this function on or off, press the Select button at the current menu.",9.97323989868164,False,0.0309,0.0309,1.0,1.0,0.06818181818181818,0.045454545454545456,0.6666666666666666,1.0
9,Where do I find the list of my favorite channels?,"According to Document 1, you can find the list of your favorite channels by pressing the right directional button on your remote control, and then selecting the ""Favorites"" option. The channels in the selected favorites list will then appear on the screen.",5.534337043762207,False,0.16,0.16,1.0,1.0,0.4166666666666667,0.3333333333333333,0.8,1.0
10, I want to setup a  beautiful screens. How can I do that?,"To set up beautiful screens in Ambient Mode, follow these steps:

1. Press the button to enter Ambient Mode.
2. The Ambient Mode browser screen appears.
3. Use the left or right directional buttons to move the focus to the ""Decor"" category at the bottom.
4. Press the Select button to select the ""Dec",0.6889334917068481,False,0.0707,0.0707,1.0,1.0,0.03278688524590164,0.04918032786885246,1.0,1.0
11,How do I record using time Timeshift function?,"According to Document 1, to record using the Timeshift function, follow these steps:

1. Press the button while watching the program.
2. Select the Timeshift function from the menu.
3. The Timeshift function will start, and you can then use the Record function to start recording the program.

Altern",8.327136039733887,False,0.1321,0.1321,1.0,0.8,0.2,0.1,0.5,1.0
12,My IP auto setting failed. How to configure it?,"According to Document 1, to configure the IP auto setting, follow these steps:

1. Make sure that the DHCP server is enabled on the router.
2. Unplug the router and plug it back in.
3. Reset the router if required.
4. For wireless connection, enter the correct password if required.

Additionally, yo",5.430795192718506,False,0.0851,0.0851,1.0,1.0,0.11538461538461539,0.15384615384615385,0.6666666666666666,1.0
13,How can I connect my mobile device to the TV?,"To connect your mobile device to the TV, follow these steps:

1. Make sure your TV supports SmartThings (check with the Supported Device menu in the SmartThings app).
2. Ensure you are signed in to your Samsung account on the TV.
3. Install the SmartThings app from App Store or Google Play Store.
4.",9.34630012512207,False,0.303,0.303,1.0,1.0,0.39285714285714285,0.35714285714285715,0.9090909090909091,1.0
14,How to configure Contrast and Sharpness?,"According to Document 1, you can configure Contrast and Sharpness by using the following steps:

1. Go to Settings Picture Expert Settings.
2. Try Now Contrast.
3. Try Now Sharpness.

Alternatively, you can also access these settings by going to Settings Picture Expert Settings and adjusting the Con",3.8598368167877197,False,0.0476,0.0476,1.0,1.0,0.07692307692307693,0.07692307692307693,1.0,1.0
15,What are the steps to reset network?,"According to Document 1, the steps to reset the network are:

1. Go to Settings
2. Select General
3. Select Network
4. Select Reset Network
5. Select Try Now",3.3348724842071533,False,0.0444,0.0444,1.0,1.0,0.037037037037037035,0.037037037037037035,1.0,0.0
16,How do I view a list of mobile devices registered to the TV?,"According to Document 1: ""Device List View, edit, or remove a list of mobile devices registered to the TV.""

To view a list of mobile devices registered to the TV, you can go to Settings > General > External Device Manager > Device Connect Manager > Try Now > Access Notification.",6.645750522613525,False,0.0132,0.0263,1.0,1.0,0.1111111111111111,0.07407407407407407,0.6666666666666666,1.0
17,I get this error 'some files cannot be played'. How do I fix this?,"According to Document 2, the content may not be played depending on the encoding method or file format.",4.9752607345581055,False,0.0217,0.0109,0.5,1.0,0.21052631578947367,0.15789473684210525,0.25,0.0
18,How do I set scheduled viewing time?,"According to Document 3, to set a scheduled viewing time, follow these steps:

1. On the Guide screen, select a program you would like to view, press and hold the Select button, and then select Schedule Viewing in the pop-up menu that appears.
2. Using the schedule viewing options in the program inf",9.404099464416504,False,0.2195,0.2195,1.0,1.0,0.35,0.15,0.42857142857142855,1.0
19,Can I scan TV for malicious code ?,"According to Document 1: ""Settings General System Manager Smart Security Scan If malicious code is found, the results of the scan will appear on the screen.""",9.1359224319458,False,0.0286,0.0286,1.0,1.0,0.7692307692307693,0.5384615384615384,0.7,1.0
20,What is decor and how to set wallpaper of the Ambient Mode screen?,"According to Document 1:

Decor: Allows you to select beautiful screens.

To set a picture stored in your mobile device as the wallpaper of the Ambient Mode screen:

1. Use the SmartThings app on your mobile device to save photos from your mobile device to the TV.
2. In the Ambient Mode browser scre",5.952801704406738,False,0.0635,0.0635,1.0,1.0,0.12244897959183673,0.12244897959183673,1.0,1.0
