index,question,answer,top_retrieval_score,pred_relevance,pred_utilization,pred_completeness,pred_adherence,gt_relevance,gt_utilization,gt_completeness,gt_adherence
0,"Using cobol copybooks Sometimes, there will be errors/fields missing in typetree, while importing cobol copybooks. Is there any format for copybooks(specifically to be used in wtx), that we need to follow? ",I cannot answer this question based on the provided context.,2.7638654708862305,0.5,0.0,0.0,0.0,0.01171875,0.01171875,1.0,0.0
1,Is WebSphere Transformation Extender (WTX) supported for IBM Integration Bus V10? When will WebSphere Transformation Extender (WTX) be supported for IBM Integration Bus V10?,I cannot answer this question based on the provided context.,6.041675090789795,0.0,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,1.0,1.0
2,Want to find out if Microsoft Edge is supported with ICC? Want to find out Microsoft Edge is supported with ICC? ,Microsoft Edge is supported starting with IBM Content Collector 4.0.1 Fix Pack 2.,1.0386501550674438,0.4286,0.1429,0.3333,1.0,0.0026595744680851063,0.0013297872340425532,0.5,1.0
3,What IBM Business Process Manager version is affected by the Apache Commons FileUpload vulnerability CVE-2016-1000031? What IBM Business Process Manager version is affected by the Apache Commons FileUpload vulnerability CVE-2016-1000031? ,I cannot answer this question based on the provided context.,4.528009414672852,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
4,"Error while installing SpSS modeler trial version I have downloaded the SPSS modeller trial version (18.1) (64 bit) and trying to install the same. I get the following error 1152: Error extracting modelerClient64.msi to the temporary location
",I cannot answer this question based on the provided context.,2.9406509399414062,0.0,0.0,0.0,0.0,0.08333333333333333,0.046296296296296294,0.5555555555555556,1.0
5,Where can I find more details about WMB Fix Pack 8.0.0.5? Where can find more information about WebSphere Message Broker (WMB) Fix Pack 8.0.0.5?,I cannot answer this question based on the provided context.,3.4489924907684326,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,"How to resolve the StaleConnectionException in WebSphere Application Server? I see this exception in WebSphere Application Server J2c and RRA traces:

WSRdbManagedC > preTestConnection Entry WSRdbManagedConnectionImpl@51a507f2 query: SELECT 1 FROM DUAL WSRdbManagedC 3 Exception java.sql.SQLException: ORA-02396: exceeded maximum idle time, please connect again DSRA0010E: SQL State = 61000, Error Code = 2,396 at oracle.jdbc.driver.T4CTTIoer.processError(T4CTTIoer.java:440) at 
...
Entry java.sql.SQLException: ORA-01012: not logged on ..... OracleDataSto < findMappingClass return Exit class com.ibm.websphere.ce.cm.StaleConnectionException",I cannot answer this question based on the provided context.,-3.5791497230529785,0.2857,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,"How do I resolve a WSVR0605W hung thread issue in the WebSphere MQ Resource Adapter? The following WebSphere MQ Resource Adapter hung thread can prevent an application server from starting...

WSVR0605W: Thread ""WMQJCAResourceAdapter : 6"" (0000001b) has been active for 698530 milliseconds and may be hung. There is 1 thread(s) in total in the server that may be hung. at java.lang.Object.wait(Native Method) at java.lang.Object.wait(Object.java:167) at com.ibm.ejs.container.MessageEndpointFactoryImpl.createEndpoint(MessageEndpointFactoryImpl.java:498) at com.ibm.mq.connector.inbound.WorkImpl.run(WorkImpl.java:149)",I cannot answer this question based on the provided context.,-1.1456942558288574,0.0,0.0,0.0,0.0,0.014634146341463415,0.014634146341463415,1.0,0.0
8,"I need to transfer my SPSS 24 licence to a new computer I need to transfer my SPSS 24 license to a new machine. I have only used my activation code on one computer so far, and that computer was found to be defective which has led me to get a new computer. I was able to download SPSS 24 Gradpack onto the new computer, but every time I put in the activation code, the program gives me an error message saying that I am not allowed to generate any new licenses.",I cannot answer this question based on the provided context.,1.6391832828521729,0.0,0.0,0.0,0.0,0.05426356589147287,0.05426356589147287,1.0,1.0
9,"How can I export a private key from DataPower Gateway Appliance? 

How can I export a private key from DataPower Gateway appliance?

","To export a private key from DataPower Gateway Appliance, you can use the crypto-export command. 

Additionally, the following conditions must be met:
- HSMs must be initialized and in the same key sharing domain on exporting and importing machines.
- The private key in question must be marked exportable at keygen time.",6.258183002471924,0.2222,0.2222,1.0,1.0,0.0627177700348432,0.0627177700348432,1.0,1.0
