index,question,answer,top_score,judge_failed,pred_relevance,pred_utilization,pred_completeness,pred_adherence,gt_relevance,gt_utilization,gt_completeness,gt_adherence
0,"Which university did one of the key figures in the American documentary film, released in 2015, directed by Malcolm Ingr","To answer the question, I need to identify the relevant documents and extract the specific fact from each document.

From Document 1, I know that the film ""Out to Win"" is about key figures in LGBT participation in professional sports, but I don't see any information about a specific university.

Fro",4.509583950042725,False,0.3333,0.3333,1.0,0.4286,0.17857142857142858,0.10714285714285714,0.6,0.0
1,Were both Léopold Eyharts and Ulrich Walter a General in the French Air Force? ,"To answer this question, we need to identify which documents contain relevant facts about the military ranks of Léopold Eyharts and Ulrich Walter.

Document 1 mentions that Léopold Eyharts is a Brigadier General in the French Air Force.

Document 2 does not mention Ulrich Walter's military rank in t",6.7794318199157715,False,0.2308,0.2308,1.0,1.0,0.18181818181818182,0.18181818181818182,1.0,1.0
2,"Which music group has the most members, DC Talk, or Manchester Orchestra?","To answer this question, I'll need to extract the number of members from each relevant document.

[Document 1] doesn't mention the number of members in DC Talk.

[Document 2] mentions the current members of Manchester Orchestra as:
- Andy Hull (rhythm guitarist-singer-songwriter)
- Robert McDowell (",3.453444719314575,False,0.5333,0.5333,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0
3,"Eddie Jemison had a role in the television series ""IZombie"", which premiered on what date?","To answer this question, I will extract the relevant information from Document 2 and Document 3.

Document 2 states: ""The series premiered on March 17, 2015.""

Document 3 is a duplicate of Document 2, so it does not provide any new information.

Therefore, the answer is:
Eddie Jemison had a role in ",6.164683818817139,False,0.1818,0.1818,1.0,1.0,0.2727272727272727,0.18181818181818182,0.6666666666666666,1.0
4,"Consider the band formed in 2015 by JYP Entertainment through the reality show ""Sixteen"". How many tracks are on the rei","To answer this question, I need to identify the relevant documents and extract the specific fact from each relevant document.

[Document 1] mentions the band formed in 2015 by JYP Entertainment through the reality show ""Sixteen"", which matches the context of the question.

However, none of the docum",4.876913547515869,False,1.0,0.5,0.5,1.0,0.3076923076923077,0.23076923076923078,0.75,1.0
5,What three categories does income get levied under the Parliament of Australia's tax code?,"Based on Document 1, the three categories of income that are levied under the Australian tax code are:

1. Personal earnings (such as salary and wages)
2. Business income
3. Capital gains",6.908683776855469,False,0.0667,0.0667,1.0,1.0,0.07142857142857142,0.07142857142857142,1.0,1.0
6,"What city did the author of ""Portraits and Prayers"" choose to live in after moving to France?","To answer the question, I will extract the relevant fact from each document:

[Document 2]:
Gertrude Stein moved to Paris in 1903, and made France her home for the remainder of her life.

This fact is relevant to the question.

[Document 1]:
This document does not provide information about Gertrude ",-2.9449923038482666,False,0.0588,0.0588,1.0,1.0,0.2222222222222222,0.05555555555555555,0.25,1.0
7,Are both Frank Lloyd and Olivier Assayas American film directors?,"Based on the documents, I can answer the question as follows:

Document 2 states that Frank William George Lloyd was an American film director, scriptwriter, and producer.

Document 1 states that Olivier Assayas was born in France, but there is no information in this document that indicates he is an",5.283782958984375,False,0.3333,0.3333,1.0,0.6667,0.16666666666666666,0.16666666666666666,1.0,1.0
8,"Which founder of Alcatraz East was born on March 31, 1956?",I cannot answer the question because there is no information in the provided documents about the birthdate of the founder of Alcatraz East.,0.2440478652715683,False,0.0,0.0667,0.0,1.0,0.2,0.1,0.5,1.0
9,"Which magazine was first published earlier, The Chronicle of Philanthropy or Skeptic?","To answer the question, I need to identify which documents contain relevant facts about the publication dates of The Chronicle of Philanthropy and Skeptic.

Document 2 contains relevant facts about The Chronicle of Philanthropy, stating that it was founded in 1988.

Document 1 contains relevant fact",4.91156005859375,False,0.1667,0.1667,1.0,1.0,0.13333333333333333,0.13333333333333333,1.0,1.0
