index,question,answer,top_score,judge_failed,pred_relevance,pred_utilization,pred_completeness,pred_adherence,gt_relevance,gt_utilization,gt_completeness,gt_adherence
0,"Which university did one of the key figures in the American documentary film, released in 2015, directed by Malcolm Ingr","Based on the documents, I can answer the question as follows:

Document 2 states that Jason Collins, one of the key figures in the documentary film, played college basketball for Stanford University.

Document 1 mentions that Jason Collins is one of the key figures in the documentary film.

Therefor",0.9999999811094911,False,0.0882,0.0588,0.6667,1.0,0.17857142857142858,0.10714285714285714,0.6,0.0
1,Were both Léopold Eyharts and Ulrich Walter a General in the French Air Force? ,"To answer this question, I will analyze the documents provided.

Document 1 states that Léopold Eyharts is a Brigadier General in the French Air Force.

Document 2 does not mention Ulrich Walter's rank or affiliation with the French Air Force.

However, Document 3 mentions the French Air Force's per",0.9999999875824819,False,0.0606,0.0303,0.5,0.3333,0.18181818181818182,0.18181818181818182,1.0,1.0
2,"Which music group has the most members, DC Talk, or Manchester Orchestra?","To answer this question, I will identify the relevant documents, extract the specific fact from each document, and combine them into one clear answer.

Relevant documents: 
Document 2 and Document 6

Document 2: Michael Tait is one third of Christian rock group DC Talk.
Document 6: Super Junior is a",0.9074320198934428,False,0.0714,0.0357,0.0,0.8,0.16666666666666666,0.16666666666666666,1.0,1.0
3,"Eddie Jemison had a role in the television series ""IZombie"", which premiered on what date?","To answer this question, I will identify the relevant documents and extract the specific fact from each document.

The relevant documents are:
- Document 1: This document mentions Eddie Jemison's role in the television series ""IZombie"".
- Document 2: This document mentions the premiere date of the t",0.7830586231317804,False,0.0732,0.0732,1.0,1.0,0.2727272727272727,0.18181818181818182,0.6666666666666666,1.0
4,"Consider the band formed in 2015 by JYP Entertainment through the reality show ""Sixteen"". How many tracks are on the rei","To answer the question, I will identify the relevant documents and extract the specific fact from each document.

The band formed in 2015 by JYP Entertainment through the reality show ""Sixteen"" is Twice. The reissue of their third album is ""Twicecoaster: Lane 2"".

[Document 2] states that ""Twicecoas",0.9999999878042558,False,0.0732,0.0732,1.0,1.0,0.3076923076923077,0.23076923076923078,0.75,1.0
5,What three categories does income get levied under the Parliament of Australia's tax code?,"To answer this question, I will identify the relevant documents and extract the specific fact from each document.

Relevant documents: 
- Document 1
- Document 2

Extracted facts:
- Document 1: Income tax in Australia is levied upon three sources of income for individual taxpayers: ""personal earning",0.9831266897796516,False,0.0556,0.0833,1.0,1.0,0.07142857142857142,0.07142857142857142,1.0,1.0
6,"What city did the author of ""Portraits and Prayers"" choose to live in after moving to France?","To answer this question, I will extract relevant facts from the provided documents.

[Document 1] states that Gertrude Stein moved to Paris in 1903 and made France her home for the remainder of her life.

This fact is relevant to the question, as it indicates that Stein chose to live in Paris after ",0.7980247183968672,False,0.0426,0.0213,0.5,1.0,0.2222222222222222,0.05555555555555555,0.25,1.0
7,Are both Frank Lloyd and Olivier Assayas American film directors?,"To answer this question, I need to extract relevant facts from the documents.

[Document 1] does not mention Frank Lloyd, so it is not relevant to this question.

[Document 2] states that Frank William George Lloyd was an American film director, scriptwriter and producer.

[Document 4] mentions Oliv",0.9999999890758433,False,0.0741,0.0741,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0
8,"Which founder of Alcatraz East was born on March 31, 1956?","To answer the question, I will identify the relevant documents and extract the specific fact.

[Document 2] contains the relevant information. It states that John Morgan (born March 31, 1956) is an American lawyer and the founder of the nationwide personal injury law firm Morgan & Morgan.

However, ",0.9149344521637643,False,0.0476,0.0476,1.0,1.0,0.2,0.1,0.5,1.0
9,"Which magazine was first published earlier, The Chronicle of Philanthropy or Skeptic?","To answer this question, I need to extract the specific fact from each relevant document.

[Document 1] mentions that The Chronicle of Philanthropy was founded in 1988.

[Document 2] mentions that Skeptic magazine was first published in the spring of 1992.

Since Skeptic magazine was first published",0.9999999871414191,False,0.0571,0.0571,1.0,1.0,0.13333333333333333,0.13333333333333333,1.0,1.0
