experiment,domain,embed,chunk_size,table_aware,top_k,reranker,retrieval,generator,judge,samples,judge_fails,refusals,rmse_relevance,rmse_utilization,rmse_completeness,rmse_adherence,rmse_avg,auc_relevance,auc_utilization,auc_completeness,auc_adherence
E1_Baseline,emanual,all-MiniLM-L6-v2,512,False,5,True,dense,llama-8b,gemma-12b,30,1,2,0.2468,0.2554,0.3621,0.4061,0.3176,0.664,0.6964,0.5868,0.5802
E2_NoChunking,emanual,all-MiniLM-L6-v2,9999,False,5,True,dense,llama-8b,gemma-12b,30,2,0,0.2533,0.1672,0.327,0.4099,0.2894,0.628,0.5089,0.7014,0.4444
E3_TopK3,emanual,all-MiniLM-L6-v2,9999,False,3,True,dense,llama-8b,gemma-12b,30,1,0,0.2093,0.1759,0.3476,0.3651,0.2745,0.716,0.6339,0.4792,0.4815
E4_SupportPrompt,emanual,all-MiniLM-L6-v2,9999,False,3,True,dense,llama-8b,gemma-12b,30,1,0,0.2093,0.1759,0.3476,0.3651,0.2745,0.716,0.6339,0.4792,0.4815
E5_NoReranker,emanual,all-MiniLM-L6-v2,9999,False,3,False,dense,llama-8b,gemma-12b,30,0,1,0.2183,0.1795,0.3769,0.4099,0.2961,0.612,0.4911,0.5069,0.4259
E6_BGESmall,emanual,BAAI/bge-small-en-v1.5,9999,False,3,True,dense,llama-8b,gemma-12b,30,0,0,0.2181,0.1743,0.3571,0.3162,0.2664,0.636,0.6875,0.375,0.5
E7_Hybrid,emanual,BAAI/bge-small-en-v1.5,9999,False,3,False,hybrid,llama-8b,gemma-12b,30,0,0,0.2072,0.165,0.3954,0.3162,0.2709,0.684,0.6071,0.4653,0.5
E8_SentenceChunks,emanual,BAAI/bge-small-en-v1.5,200,False,5,True,dense,llama-8b,gemma-12b,30,0,0,0.3219,0.2455,0.336,0.3543,0.3144,0.656,0.6875,0.7465,0.6049
E9_UpgradedLLMs,emanual,BAAI/bge-small-en-v1.5,9999,False,3,True,dense,gemma-12b,gemma-31b,30,1,0,0.2254,0.1551,0.3698,0.3849,0.2838,0.7,0.7589,0.5,0.463
E10_BestCombo,emanual,BAAI/bge-small-en-v1.5,9999,False,3,True,dense,gemma-12b,gemma-31b,50,1,0,0.2358,0.167,0.3579,0.3352,0.274,0.6473,0.6386,0.6101,0.4565
F1_Baseline,finqa,all-MiniLM-L6-v2,512,False,5,True,dense,llama-8b,gemma-12b,30,0,0,0.2377,0.3483,0.3651,0.3829,0.3335,0.069,,0.463,0.5577
F2_TableAware,finqa,all-MiniLM-L6-v2,512,True,5,True,dense,llama-8b,gemma-12b,30,0,0,0.2599,0.3609,0.3702,0.3571,0.337,0.7586,,0.4444,0.5769
F3_BGESmall,finqa,BAAI/bge-small-en-v1.5,512,True,5,True,dense,llama-8b,gemma-12b,30,0,0,0.2527,0.29,0.3674,0.4127,0.3307,0.0345,,0.463,0.4231
F4_WiderPool,finqa,BAAI/bge-small-en-v1.5,512,True,7,True,dense,llama-8b,gemma-12b,30,0,0,0.232,0.2298,0.3714,0.4454,0.3196,0.0345,,0.463,0.5288
F5_Hybrid,finqa,BAAI/bge-small-en-v1.5,512,True,7,False,hybrid,llama-8b,gemma-12b,30,1,0,0.1969,0.3077,0.4037,0.4528,0.3403,0.8276,,0.463,0.601
F6_LargeChunks,finqa,BAAI/bge-small-en-v1.5,1024,True,5,True,dense,llama-8b,gemma-12b,30,0,0,0.1493,0.1592,0.3734,0.4088,0.2727,0.8621,,0.4444,0.4615
F7_BGEBase768,finqa,BAAI/bge-base-en-v1.5,512,True,7,True,dense,llama-8b,gemma-12b,30,2,0,0.1643,0.199,0.4038,0.3347,0.2754,0.9655,,0.4444,0.7115
F8_UpgradedLLMs,finqa,BAAI/bge-base-en-v1.5,512,True,7,True,dense,gemma-12b,gemma-31b,30,0,4,0.1102,0.0744,0.4327,0.3517,0.2422,0.0345,,0.5988,0.6731
F9_PremiumLLMs,finqa,BAAI/bge-base-en-v1.5,512,True,7,True,dense,gemma-31b,llama-70b,20,0,4,0.1368,0.0753,0.4594,0.5,0.2929,0.0526,,0.6806,0.4167
F10_BestCombo,finqa,BAAI/bge-base-en-v1.5,512,True,7,True,dense,gemma-12b,gemma-31b,50,0,7,0.1327,0.0775,0.4929,0.3794,0.2706,0.3802,,0.4867,0.7089
H1_Baseline,hotpotqa,all-MiniLM-L6-v2,512,False,5,True,dense,llama-8b,gemma-12b,20,0,1,0.2191,0.1686,0.3195,0.271,0.2446,,,0.598,0.7083
H2_NoChunking,hotpotqa,all-MiniLM-L6-v2,9999,False,5,True,dense,llama-8b,gemma-12b,20,0,1,0.1201,0.1073,0.3561,0.3969,0.2451,,,0.4412,0.4167
H3_TopK10,hotpotqa,all-MiniLM-L6-v2,9999,False,10,True,dense,llama-8b,gemma-31b,20,0,1,0.1375,0.0887,0.2793,0.2499,0.1889,,,0.7745,0.9444
H4_BGEBase,hotpotqa,BAAI/bge-base-en-v1.5,9999,False,10,True,dense,llama-8b,gemma-31b,20,0,1,0.1371,0.0931,0.2933,0.2918,0.2038,,,0.6078,0.7083
H5_WidePool30,hotpotqa,BAAI/bge-base-en-v1.5,9999,False,10,True,dense,llama-8b,gemma-31b,20,1,0,0.1443,0.1052,0.397,0.4216,0.267,,,0.5098,0.4167
H6_Hybrid,hotpotqa,BAAI/bge-base-en-v1.5,9999,False,10,False,hybrid,llama-8b,gemma-31b,20,0,0,0.1405,0.0981,0.4137,0.329,0.2453,,,0.5294,0.6389
H7_MultiHopPrompt,hotpotqa,BAAI/bge-base-en-v1.5,9999,False,10,True,dense,llama-8b,gemma-31b,20,0,0,0.1374,0.0942,0.3277,0.4669,0.2566,,,0.5294,0.625
H8_AggressiveRetrieval,hotpotqa,BAAI/bge-base-en-v1.5,9999,False,15,True,dense,llama-8b,gemma-31b,20,0,0,0.1604,0.1123,0.2417,0.3983,0.2282,,,0.7451,0.4167
H9_UpgradedLLMs,hotpotqa,BAAI/bge-base-en-v1.5,9999,False,10,True,dense,gpt-20b,llama-70b,20,0,1,0.1445,0.1058,0.389,0.4472,0.2716,,,0.549,0.4444
