index,question,answer,top_score,judge_failed,pred_relevance,pred_utilization,pred_completeness,pred_adherence,gt_relevance,gt_utilization,gt_completeness,gt_adherence
0,"Which university did one of the key figures in the American documentary film, released in 2015, directed by Malcolm Ingr","To answer this question, I need to identify the relevant documents and extract the specific fact from each document.

Document 1 mentions the key figures in the American documentary film, Out to Win, directed by Malcolm Ingram. One of the key figures mentioned is Jason Collins.

Document 3 provides ",4.509583950042725,False,0.2857,0.2857,1.0,1.0,0.17857142857142858,0.10714285714285714,0.6,0.0
1,Were both Léopold Eyharts and Ulrich Walter a General in the French Air Force? ,"Based on the documents provided:

* Document 1 states that Léopold Eyharts is a Brigadier General in the French Air Force.
* Document 2 does not mention Ulrich Hans Walter's rank in the French Air Force, but rather mentions that he is a former DFVLR astronaut, implying that he was a military pilot, ",6.779431343078613,False,0.2,0.2,1.0,1.0,0.18181818181818182,0.18181818181818182,1.0,1.0
2,"Which music group has the most members, DC Talk, or Manchester Orchestra?","To answer this question, we need to identify the number of members in each group.

[Document 1] mentions DC Talk, but it does not specify the number of members. However, it does mention the group's formation at Liberty University in 1987 by Toby McKeehan, Michael Tait, and Kevin Max Smith, which imp",3.453444719314575,False,0.1786,0.1786,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0
3,"Eddie Jemison had a role in the television series ""IZombie"", which premiered on what date?","To answer the question, I will extract the relevant fact from the documents.

[Document 2]:
""iZombie"" (stylized as ""iZOMBiE"") is an American television series developed by Rob Thomas and Diane Ruggiero-Wright for The CW. It is a loose adaptation of the comic book series of the same name created by C",6.164683818817139,False,0.1111,0.1111,1.0,1.0,0.2727272727272727,0.18181818181818182,0.6666666666666666,1.0
4,"Consider the band formed in 2015 by JYP Entertainment through the reality show ""Sixteen"". How many tracks are on the rei","To answer the question, I need to identify the relevant documents and extract the necessary information.

Document 1 mentions the formation of Twice, but it does not mention the number of tracks on the reissue of their third album.

Document 2 mentions the reissue of Twice's third extended play (EP)",4.8769121170043945,False,0.4615,0.3077,0.6667,1.0,0.3076923076923077,0.23076923076923078,0.75,1.0
5,What three categories does income get levied under the Parliament of Australia's tax code?,"Based on the documents, I can answer the question as follows:

According to [Document 1], income tax in Australia is levied upon three sources of income for individual taxpayers: ""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains"".

These categories are not explicit",6.908682823181152,False,0.0476,0.0476,1.0,1.0,0.07142857142857142,0.07142857142857142,1.0,1.0
6,"What city did the author of ""Portraits and Prayers"" choose to live in after moving to France?","To answer this question, I will extract the relevant fact from each document:

* Document 1: Stein made France her home for the remainder of her life.
* Document 2: Stein moved to Paris in 1903 and made France her home for the remainder of her life.

Combining these facts, I can conclude that the ci",-4.025019645690918,False,0.0556,0.0556,1.0,1.0,0.2222222222222222,0.05555555555555555,0.25,1.0
7,Are both Frank Lloyd and Olivier Assayas American film directors?,"Based on the documents, I can answer the question as follows:

Document 2 states that Frank William George Lloyd was an American film director, scriptwriter, and producer.

Document 1 states that Olivier Assayas was born in France, but there is no information in this document that indicates he is an",5.283780097961426,False,0.3333,0.3333,1.0,0.6667,0.16666666666666666,0.16666666666666666,1.0,1.0
8,"Which founder of Alcatraz East was born on March 31, 1956?",I cannot answer the question as it is not relevant to the provided documents.,0.24405016005039215,False,0.0,0.0,0.0,0.0,0.2,0.1,0.5,1.0
9,"Which magazine was first published earlier, The Chronicle of Philanthropy or Skeptic?","To answer this question, I will identify the relevant documents and extract the specific fact from each document.

Document 1: Skeptic magazine was first published in the spring of 1992.
Document 2: The Chronicle of Philanthropy was founded in 1988.
Document 3: No relevant information about the publ",4.911561965942383,False,0.125,0.125,1.0,1.0,0.13333333333333333,0.13333333333333333,1.0,1.0
10,How many personnel does the Navy that had Gilliam-class atttack transports have on active duty?,"To answer this question, we need to identify the relevant documents and extract the specific fact from each document.

[Document 1] contains general information about the U.S. Navy, but it does not mention the Gilliam-class attack transports specifically.

[Document 2] mentions the USS ""Carlisle"" (A",1.178139328956604,False,0.3158,0.3158,1.0,0.8,0.05555555555555555,0.05555555555555555,1.0,1.0
11,Are Billy and Barak both breeds of scenthound? (Barak is also known as a Bosnian Coarse-haired Hound),"Based on the provided documents, I can answer the question as follows:

Yes, both Billy and Barak (also known as the Bosnian Coarse-haired Hound) are breeds of scenthound.

Document 1 states that the Bosnian Coarse-haired Hound (Barak) is a scenthound, originally used to hunt large game.

Document 3",6.913838863372803,False,0.1111,0.1111,1.0,1.0,0.2727272727272727,0.2727272727272727,1.0,1.0
12,Socialist conferences were held with what countries that opposed the Central Powers in the First World War?,"To answer this question, I will identify the relevant documents, extract the specific facts, and combine them into one clear answer.

Relevant documents:
- Document 1: This document mentions the Zimmerwald Conference, which was convened by anti-militarist socialist parties from countries that were o",6.460530757904053,False,0.1667,0.1667,1.0,1.0,0.2,0.2,1.0,1.0
13,What  unincorporated town along the Amargosa River is near the Sarcobatus Flat?,"To answer this question, I will identify the relevant documents, extract the specific fact from each document, and combine them into one clear answer.

Relevant documents:
1. Document 1
2. Document 3

Extracted facts:
1. Document 1: Beatty is an unincorporated town along the Amargosa River in Nye Co",3.9627819061279297,False,0.1111,0.1111,1.0,1.0,0.23076923076923078,0.07692307692307693,0.3333333333333333,1.0
14,What Manchester United and Portuguese national winger scored a goal in the 2009 FA Community Shield?,"To answer the question, I will extract the relevant fact from each document:

* Document 2: The 2009 FA Community Shield was contested by Manchester United and Chelsea, and the goals came from Nani and Wayne Rooney for Manchester United, and from Ricardo Carvalho and Frank Lampard for Chelsea.
* Doc",5.772074222564697,False,0.2143,0.2143,1.0,1.0,0.25,0.16666666666666666,0.6666666666666666,1.0
15,"Manchester, New Hampshire is a part of the Northeast megalopolis which included what other major cities?","To answer the question, I will combine facts from multiple documents.

[Document 2] describes the Northeast megalopolis, which includes the major cities of Boston, Providence, Hartford, New York City, Philadelphia, Wilmington, Baltimore, and Washington, D.C., along with their metropolitan areas and ",6.828723430633545,False,0.1071,0.1071,1.0,1.0,0.22727272727272727,0.045454545454545456,0.2,1.0
16,Telos was an album by a band who formed in what city?,"To answer the question, I need to extract the relevant fact from the documents.

[Document 2] states that ""Telos"" is the first album from Forevermore, and it was released on July 22, 2014.

[Document 1] states that Forevermore is an American Christian metal band from Indianapolis, Indiana, formed in",2.837132692337036,False,0.1111,0.2778,1.0,1.0,0.11538461538461539,0.07692307692307693,0.6666666666666666,1.0
17,"Which item spanned farther distances regarding sales, Interact Home Computer or Sord M5?","To answer this question, I need to extract relevant information from the documents.

From Document 1, I can see that the Sord M5 was sold in Japan, the UK, Czechoslovakia, and South Korea.

From Document 2, I can see that the Interact Home Computer was sold in the US, specifically in the Detroit, MI",0.8591043949127197,False,0.2692,0.2692,1.0,1.0,0.25,0.20833333333333334,0.8333333333333334,0.0
