index,question,answer,top_score,judge_failed,pred_relevance,pred_utilization,pred_completeness,pred_adherence,gt_relevance,gt_utilization,gt_completeness,gt_adherence
0,I want to  enter into Ambient mode. How can I do that?,"To enter Ambient Mode:

1. Press the button.
2. If the TV is turned off, pressing the button will turn the TV on in Ambient Mode.",5.718347549438477,False,0.0714,0.0476,0.6667,1.0,0.02040816326530612,0.04081632653061224,1.0,1.0
1,Where do I find signal information ?,"To check digital channel signal information, go to Settings Support Self Diagnosis Signal Information and select Try Now.",-0.7140029668807983,False,0.0833,0.0833,1.0,1.0,0.1111111111111111,0.1111111111111111,1.0,1.0
2,How can I view the channels that are serached by auto program function and How can I view first five favorite channel?,"To view channels searched by the auto program function:

1.  Press the button on the remote to open Smart Hub.
2.  Press the left or right directional buttons to move to Live TV.
3.  Press the up directional button to move to the top row.
4.  Press the right directional button to move to Channel Lis",4.0806074142456055,False,0.2,0.1429,0.7143,1.0,0.42105263157894735,0.15789473684210525,0.375,1.0
3,Can I configure Tint?,"Yes, you can configure Tint (G/R).

Here are the steps:
1. Settings
2. Picture
3. Expert Settings
4. Try Now
5. Tint (G/R) Try Now",-0.4985063076019287,False,0.0167,0.0167,1.0,1.0,0.03225806451612903,0.03225806451612903,1.0,1.0
4,How do I fix the missing/wrong color issue ?,"If the color on your TV screen is not correct or the black and white colors are off, run ""Start Picture Test"". Settings Support Self Diagnosis Start Picture Test. If the test results indicate that the problem is not caused by the TV, confirm that the video input connectors are connected to the corre",0.43353772163391113,False,0.0085,0.0256,1.0,1.0,0.08928571428571429,0.17857142857142858,0.4,1.0
5,How do I fix blurring issues on TV screen?,"If you notice ghosting or blurring on the screen, use the Auto Motion Plus Settings function to resolve the issue. Settings Picture Expert Settings Auto Motion Plus Settings",4.297235488891602,False,0.0192,0.0192,1.0,1.0,0.03571428571428571,0.03571428571428571,1.0,1.0
6,What is the use of universal guide?,"Universal Guide is an app that allows you to search for and enjoy various content such as TV shows, dramas, movies, and music in one place. It can recommend content tailored to your preferences and notify you of new drama series.",7.4189558029174805,False,0.1053,0.1053,1.0,1.0,0.2777777777777778,0.16666666666666666,0.6,1.0
7,What is the feature of Bixby guide?,"To view the Bixby guide, press the button once. When you press the button for the first time, the Using Bixby button appears at the bottom of the screen. Press the Select button. The Using Bixby popup window appears and a tutorial on using Bixby is shown.",3.1053853034973145,False,0.1579,0.1579,1.0,1.0,0.13333333333333333,0.13333333333333333,1.0,1.0
8,How to launch the last used app automatically?,"To launch the last used app automatically:

1.  Go to Settings General Smart Features Autorun Last App.
2.  Select ""Autorun Last App"" to turn the function on or off. You can also press the Select button at the current menu.",9.97323989868164,False,0.0444,0.0444,1.0,1.0,0.06818181818181818,0.045454545454545456,0.6666666666666666,1.0
9,Where do I find the list of my favorite channels?,"The channels in the selected favorites list appear after you ""Select Favorites"" and ""Select the desired list among the five favorites lists on the screen."" ([Document 1])",5.534337043762207,False,0.25,0.1667,0.6667,1.0,0.4166666666666667,0.3333333333333333,0.8,1.0
